YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours),,,,,,
2004,NV,"Combined Heat and Power, Electric Power",Total,"2,398,924",,,,,,
2004,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,377,891",,,,,,
2004,NV,"Combined Heat and Power, Electric Power",Other Gases,"21,033",,,,,,
2004,NV,"Combined Heat and Power, Electric Power",Petroleum,0,,,,,,
2005,NV,Total Electric Power Industry,Total,"40,213,752",,,,,,
2005,NV,Total Electric Power Industry,Coal,"18,384,261",,,,,,
2005,NV,Total Electric Power Industry,Geothermal,"1,262,707",,,,,,
2005,NV,Total Electric Power Industry,Hydroelectric Conventional,"1,702,380",,,,,,
2005,NV,Total Electric Power Industry,Natural Gas,"18,835,623",,,,,,
2005,NV,Total Electric Power Industry,Other Gases,"8,281",,,,,,
2005,NV,Total Electric Power Industry,Petroleum,"20,500",,,,,,
2005,NV,"Electric Generators, Independent Power Producers",Total,"13,955,332",,,,,,
2005,NV,"Electric Generators, Independent Power Producers",Geothermal,"1,262,707",,,,,,
2005,NV,"Electric Generators, Independent Power Producers",Natural Gas,"12,692,625",,,,,,
2005,NV,"Electric Generators, Independent Power Producers",Petroleum,0,,,,,,
2005,NV,"Electric Generators, Electric Utilities",Total,"24,112,225",,,,,,
2005,NV,"Electric Generators, Electric Utilities",Coal,"18,384,261",,,,,,
2005,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,702,380",,,,,,
2005,NV,"Electric Generators, Electric Utilities",Natural Gas,"4,005,084",,,,,,
2005,NV,"Electric Generators, Electric Utilities",Other Gases,0,,,,,,
2005,NV,"Electric Generators, Electric Utilities",Petroleum,"20,500",,,,,,
2005,NV,"Combined Heat and Power, Electric Power",Total,"2,146,195",,,,,,
2005,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,137,914",,,,,,
2005,NV,"Combined Heat and Power, Electric Power",Other Gases,"8,281",,,,,,
2005,NV,"Combined Heat and Power, Electric Power",Petroleum,0,,,,,,
2006,NV,Total Electric Power Industry,Total,"31,860,022",,,,,,
2006,NV,Total Electric Power Industry,Coal,"7,253,521",,,,,,
2006,NV,Total Electric Power Industry,Geothermal,"1,343,711",,,,,,
2006,NV,Total Electric Power Industry,Hydroelectric Conventional,"2,057,626",,,,,,
2006,NV,Total Electric Power Industry,Natural Gas,"21,184,135",,,,,,
2006,NV,Total Electric Power Industry,Other Gases,"3,682",,,,,,
2006,NV,Total Electric Power Industry,Petroleum,"17,347",,,,,,
2006,NV,"Electric Generators, Independent Power Producers",Total,"9,546,359",,,,,,
2006,NV,"Electric Generators, Independent Power Producers",Geothermal,"1,343,711",,,,,,
2006,NV,"Electric Generators, Independent Power Producers",Natural Gas,"8,202,648",,,,,,
2006,NV,"Electric Generators, Independent Power Producers",Petroleum,0,,,,,,
2006,NV,"Electric Generators, Electric Utilities",Total,"19,686,302",,,,,,
2006,NV,"Electric Generators, Electric Utilities",Coal,"7,253,521",,,,,,
2006,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"2,057,626",,,,,,
2006,NV,"Electric Generators, Electric Utilities",Natural Gas,"10,357,808",,,,,,
